id,title,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year,title_year,budget,revenue,runtime,vote_average,popularity,vote_count
1,Toy Story,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Toy Story', '1995')",30000000,373554033,81.0,7.7,21.946943,5415
2,Jumanji,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1995,"('Jumanji', '1995')",65000000,262797249,104.0,6.9,17.015539,2413
3,Grumpier Old Men,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,"('Grumpier Old Men', '1995')",0,0,101.0,6.5,11.7129,92
4,Waiting to Exhale,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Waiting to Exhale', '1995')",,,,,,
5,Father of the Bride Part II,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Father of the Bride Part II', '1995')",0,76578911,106.0,5.7,8.387519,173
6,Heat,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,"('Heat', '1995')",60000000,187436818,170.0,7.7,17.924927,1886
7,Sabrina,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,"('Sabrina', '1995')",58000000,0,127.0,6.2,6.677277,141
8,Tom and Huck,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Tom and Huck', '1995')",0,0,97.0,5.4,2.561161,45
9,Sudden Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Sudden Death', '1995')",35000000,64350171,106.0,5.5,5.23158,174
10,GoldenEye,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,"('GoldenEye', '1995')",58000000,352194034,130.0,6.6,14.686036,1194
11,"American President, The",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,"('American President, The', '1995')",,,,,,
12,Dracula: Dead and Loving It,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1995,"('Dracula: Dead and Loving It', '1995')",0,0,88.0,5.7,5.430331,210
13,Balto,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Balto', '1995')",0,11348324,78.0,7.1,12.140733,423
14,Nixon,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Nixon', '1995')",44000000,13681765,192.0,7.1,5.092,72
15,Cutthroat Island,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,"('Cutthroat Island', '1995')",98000000,10017322,119.0,5.7,7.284477,137
16,Casino,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1995,"('Casino', '1995')",52000000,116112375,178.0,7.8,10.137389,1343
17,Sense and Sensibility,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,"('Sense and Sensibility', '1995')",16500000,135000000,136.0,7.2,10.673167,364
18,Four Rooms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,"('Four Rooms', '1995')",4000000,4300000,98.0,6.5,9.026586,539
19,Ace Ventura: When Nature Calls,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Ace Ventura: When Nature Calls', '1995')",30000000,212385533,90.0,6.1,8.205448,1128
20,Money Train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Money Train', '1995')",60000000,35431113,103.0,5.4,7.337906,224
21,Get Shorty,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Get Shorty', '1995')",,,,,,
22,Copycat,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1995,"('Copycat', '1995')",0,0,124.0,6.5,10.701801,199
23,Assassins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,"('Assassins', '1995')",50000000,30303072,132.0,6.0,11.065939,394
24,Powder,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1995,"('Powder', '1995')",0,0,111.0,6.3,12.133094,143
25,Leaving Las Vegas,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,"('Leaving Las Vegas', '1995')",3600000,49800000,112.0,7.1,10.332025,365
26,Othello,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Othello', '1995')",0,0,123.0,7.0,1.845899,33
27,Now and Then,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Now and Then', '1995')",12000000,27400000,100.0,6.6,8.681325,91
28,Persuasion,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,"('Persuasion', '1995')",0,0,104.0,7.4,2.228434,36
29,"City of Lost Children, The",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1995,"('City of Lost Children, The', '1995')",,,,,,
30,Shanghai Triad (Yao a yao yao dao waipo qiao),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Shanghai Triad (Yao a yao yao dao waipo qiao)', '1995')",,,,,,
31,Dangerous Minds,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Dangerous Minds', '1995')",0,180000000,99.0,6.4,9.481338,249
32,Twelve Monkeys,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1995,"('Twelve Monkeys', '1995')",29500000,168840000,129.0,7.4,12.297305,2470
33,Wings of Courage,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,"('Wings of Courage', '1995')",,,,,,
34,Babe,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Babe', '1995')",30000000,254134910,89.0,6.0,14.404764,756
35,Carrington,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,"('Carrington', '1995')",0,0,121.0,6.4,1.493361,16
36,Dead Man Walking,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Dead Man Walking', '1995')",11000000,39363635,122.0,7.3,6.891317,350
37,Across the Sea of Time,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,"('Across the Sea of Time', '1995')",0,0,51.0,3.5,0.114469,2
38,It Takes Two,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('It Takes Two', '1995')",0,0,101.0,6.1,7.777735,149
39,Clueless,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,"('Clueless', '1995')",12000000,0,97.0,6.9,9.882383,828
40,"Cry, the Beloved Country",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Cry, the Beloved Country', '1995')",0,676525,106.0,6.7,0.894647,13
41,Richard III,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1995,"('Richard III', '1995')",0,0,104.0,6.9,4.561387,50
42,Dead Presidents,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Dead Presidents', '1995')",,,,,,
43,Restoration,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Restoration', '1995')",19000000,0,117.0,6.3,10.979269,30
44,Mortal Kombat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Mortal Kombat', '1995')",18000000,122195920,101.0,5.4,10.870138,452
45,To Die For,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('To Die For', '1995')",20000000,21284514,106.0,6.7,10.448481,177
46,How to Make an American Quilt,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,"('How to Make an American Quilt', '1995')",,,,,,
47,Seven (Se7en),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,"('Seven (Se7en)', '1995')",,,,,,
48,Pocahontas,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1995,"('Pocahontas', '1995')",55000000,346079773,81.0,6.7,13.280069,1509
49,When Night Is Falling,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,"('When Night Is Falling', '1995')",0,0,96.0,5.9,3.302524,10
50,"Usual Suspects, The",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,"('Usual Suspects, The', '1995')",,,,,,
51,Guardian Angel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1994,"('Guardian Angel', '1994')",0,0,93.0,6.3,0.595949,3
52,Mighty Aphrodite,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Mighty Aphrodite', '1995')",15000000,6700000,95.0,6.7,15.899134,145
53,Lamerica,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Lamerica', '1994')",0,0,116.0,7.7,1.361286,11
54,"Big Green, The",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Big Green, The', '1995')",,,,,,
55,Georgia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Georgia', '1995')",0,0,115.0,6.1,4.093443,15
56,Kids of the Round Table,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1995,"('Kids of the Round Table', '1995')",,,,,,
57,Home for the Holidays,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Home for the Holidays', '1995')",0,17519169,103.0,6.3,8.416802,39
58,"Postino, Il (The Postman)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1994,"('Postino, Il (The Postman)', '1994')",,,,,,
59,"Confessional, The (Le Confessionnal)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1995,"('Confessional, The (Le Confessionnal)', '1995')",,,,,,
60,"Indian in the Cupboard, The",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1995,"('Indian in the Cupboard, The', '1995')",,,,,,
61,Eye for an Eye,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,"('Eye for an Eye', '1996')",20000000,0,101.0,5.8,4.733526,65
62,Mr. Holland's Opus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"(""Mr. Holland's Opus"", '1995')",0,106269971,137.0,6.9,7.137117,115
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"(""Don't Be a Menace to South Central While Drinking Your Juice in the Hood"", '1996')",0,0,89.0,6.2,11.700115,192
64,Two if by Sea,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1996,"('Two if by Sea', '1996')",,,,,,
65,Bio-Dome,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Bio-Dome', '1996')",,,,,,
66,Lawnmower Man 2: Beyond Cyberspace,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1996,"('Lawnmower Man 2: Beyond Cyberspace', '1996')",0,2409225,92.0,2.8,2.49535,32
67,Two Bits,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Two Bits', '1995')",0,0,85.0,5.4,4.046208,11
68,French Twist (Gazon maudit),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,"('French Twist (Gazon maudit)', '1995')",,,,,,
69,Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Friday', '1995')",3500000,28215918,91.0,7.0,14.56965,513
70,From Dusk Till Dawn,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1996,"('From Dusk Till Dawn', '1996')",19000000,25836616,108.0,6.9,15.339153,1644
71,Fair Game,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('Fair Game', '1995')",50000000,11534477,91.0,4.1,5.912223,54
72,Kicking and Screaming,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Kicking and Screaming', '1995')",0,718490,96.0,7.0,3.367276,36
73,"Mis�rables, Les",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1995,"('Mis�rables, Les', '1995')",,,,,,
74,Bed of Roses,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1996,"('Bed of Roses', '1996')",0,19030691,87.0,5.1,10.412194,27
75,Big Bully,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,"('Big Bully', '1996')",15000000,2042530,90.0,3.9,2.936443,16
76,Screamers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1995,"('Screamers', '1995')",20000000,5781885,108.0,6.1,12.758848,154
77,Nico Icon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,"('Nico Icon', '1995')",0,0,70.0,7.3,0.133893,3
78,"Crossing Guard, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Crossing Guard, The', '1995')",,,,,,
79,"Juror, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,"('Juror, The', '1996')",,,,,,
80,"White Balloon, The (Badkonake Sefid )",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('White Balloon, The (Badkonake Sefid )', '1995')",,,,,,
81,Things to Do in Denver when You're Dead,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1995,"(""Things to Do in Denver when You're Dead"", '1995')",,,,,,
82,Antonia's Line (Antonia),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"(""Antonia's Line (Antonia)"", '1995')",,,,,,
83,Once Upon a Time... When We Were Colored,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Once Upon a Time... When We Were Colored', '1995')",,,,,,
84,Last Summer in the Hamptons,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Last Summer in the Hamptons', '1995')",,,,,,
85,Angels and Insects,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,"('Angels and Insects', '1995')",0,0,118.0,6.3,2.15166,17
86,White Squall,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,"('White Squall', '1996')",38000000,10300000,129.0,6.3,9.568604,86
87,Dunston Checks In,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Dunston Checks In', '1996')",16000000,0,88.0,5.1,4.814825,59
88,Black Sheep,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Black Sheep', '1996')",0,32,87.0,6.0,8.963037,124
89,Nick of Time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995,"('Nick of Time', '1995')",8169363,8175346,90.0,6.1,6.848591,190
90,"Journey of August King, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Journey of August King, The', '1995')",,,,,,
92,Mary Reilly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,"('Mary Reilly', '1996')",47000000,12379402,104.0,5.7,12.866139,77
93,Vampire in Brooklyn,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,"('Vampire in Brooklyn', '1995')",14000000,19800000,100.0,4.5,9.071127,113
94,Beautiful Girls,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996,"('Beautiful Girls', '1996')",,,,,,
95,Broken Arrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,"('Broken Arrow', '1996')",50000000,150270147,108.0,5.7,14.957626,459
96,In the Bleak Midwinter,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,"('In the Bleak Midwinter', '1995')",,,,,,
97,"Hate (Haine, La)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,"('Hate (Haine, La)', '1995')",,,,,,
98,Shopping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,"('Shopping', '1994')",0,0,105.0,5.6,2.657647,13
99,Heidi Fleiss: Hollywood Madam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,"('Heidi Fleiss: Hollywood Madam', '1995')",,,,,,
100,City Hall,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1996,"('City Hall', '1996')",0,0,111.0,6.0,4.807223,67
101,Bottle Rocket,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Bottle Rocket', '1996')",7000000,560069,91.0,6.8,6.904831,285
102,Mr. Wrong,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Mr. Wrong', '1996')",0,0,96.0,3.3,3.329264,16
103,Unforgettable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996,"('Unforgettable', '1996')",18000000,0,106.0,5.3,2.464425,22
104,Happy Gilmore,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,"('Happy Gilmore', '1996')",12000000,41205099,92.0,6.5,9.592265,767
105,"Bridges of Madison County, The",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,"('Bridges of Madison County, The', '1995')",,,,,,
106,Nobody Loves Me (Keiner liebt mich),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,"('Nobody Loves Me (Keiner liebt mich)', '1994')",,,,,,
107,Muppet Treasure Island,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1996,"('Muppet Treasure Island', '1996')",0,34327391,100.0,6.5,6.902423,93
108,Catwalk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995,"('Catwalk', '1995')",0,0,95.0,7.0,0.976707,2
